保利金香槟,九龙坡华岩新城 中梁山街道华美二路6号,2室/3室,54-97㎡,"在售,住宅,轨交房,山景,运动健身,广场",最低 10000 元/㎡起
融创欧麓花园城,巴南鹿角 甘泉路288号,2室/3室/别墅,60-260㎡,"待售,住宅,即将开盘,低密度,养老房,入户花园",售价待定
万科金域学府,南岸学府路 二塘路59号,3室/4室,61-112㎡,"待售,住宅,学校,综合体,品牌开发商,大型社区",售价待定
港城印象,江北海尔路 港城南路20号,1室/2室,52-80㎡,"待售,住宅,带幼儿园,江景,低总价,美食街",售价待定
联发欣悦,九龙坡盘龙 龙泉路24号（轻轨大堰站旁）,1室/2室/3室,63-85㎡,"在售,住宅,轨交房,单身公寓,美食街,综合体",最低 11000 元/㎡起
恒大同景国际城,南岸茶园新区 南岸 新行政中心对面,2室/3室,81-119㎡,"待售,住宅,低密度,洋房,大型社区,低总价",售价待定
碧桂园嘉誉,渝北新牌坊 龙溪街道星辰支路1号（新牌坊福特安福...,商住,30-45㎡,"在售,商住,轨交房,即将开盘,单身公寓,美食街",均价 14000 元/㎡
融创滨江壹号,沙坪坝沙滨路 石井坡32号,3室/4室,115-206㎡,"在售,住宅,轨交房,人车分流,美食街,综合体",均价 16800 元/㎡
荣盛锦绣南山,巴南龙洲湾 龙洲湾商圈（海洋公园旁）,3室,106-115㎡,"在售,住宅,轨交房,景区,品牌开发商,公园",均价 9200 元/㎡
中粮鸿云,九龙坡盘龙 九龙坡区蟠龙大道,3室/4室,79-122㎡,"待售,住宅,品牌开发商,厨卫全明,小三室,大户型",售价待定
绿地新里樱园,江北海尔路 金渝大道与海尔路交汇处,2室,77-91㎡,"待售,住宅,人车分流,车位充足,刚需房,小三室",售价待定
金科天元道,渝北大竹林 斑竹路8号,1室/2室/3室/4室/别墅,52-246㎡,"在售,别墅,轨交房,人车分流,小三室,改善房",最低 270 万元/套起
融创江南融府,南岸茶园新区 6号线刘家坪轻轨站旁,,280000㎡,"待售,住宅",售价待定
中交中央公园,渝北中央公园 公园东路南段,2室/3室,83-117㎡,"待售,住宅,公积金贷款,景区,改善房,品牌开发商",售价待定
金科天宸,沙坪坝西永 永祥路107号,2室/3室/4室/5室/别墅,60-270㎡,"在售,住宅,轨交房,大挑高,露台,小三室",均价 12000 元/㎡
江厦星光汇,九龙坡杨家坪 石杨路18号,2室,75-84㎡,"在售,住宅,轨交房,loft,景观小区,低单价",均价 15000 元/㎡
华润凤凰城,大渡口区府 大渡口区文体路（区政府斜对面、大渡口...,2室/3室/4室,74-148㎡,"待售,住宅,品牌开发商,改善房,刚需房,银行",售价待定
姓名,地址,户型,区域,标签,价格
旭辉城,巴南龙洲湾 渝南大道233号,1室/2室/3室,47-106㎡,"在售,住宅,刚需房,低总价,品牌开发商,大型社区",均价 8000 元/㎡
斌鑫江南御府,巴南李家沱 龙洲大道1778号,1室/2室/3室/4室,45-95㎡,"待售,住宅,低单价,露台,小三室,品牌开发商",均价 8800 元/㎡
清能小南海花园,巴南龙洲湾 巴滨路与龙海大道交汇处东200米,2室/3室,76-166㎡,"待售,住宅,飘窗,双卫,小户型,大户型",售价待定
公园大道,渝北中央公园 公园东路,2室/3室/4室,117-199㎡,"待售,住宅,轨交房,人车分流,运动健身,车位充足",售价待定
恒大金碧天下,江津江津 双福新区福云路与津马大道交汇处,1室/2室/3室/4室/5室/6室,50-241㎡,"在售,住宅,新开盘,投资地产,复合地产,低密度",最低 6887 元/㎡起
长嘉汇,南岸南滨路 泰昌路69号,2室/3室/4室/6室,71-286㎡,"在售,住宅,三房朝南,大挑高,主卧套房,入户花园",最低 20000 元/㎡起
恒大未来城,"沙坪坝西永 思贤路,近大学城南二路",2室/3室,79-128㎡,"在售,住宅,学校,大型社区,品牌开发商,大型超市",均价 10300 元/㎡
国博城,渝北两江新区 国博大道21号,2室/3室/4室/别墅,56-375㎡,"待售,住宅,复合地产,主卧套房,入户花园,大型社区",售价待定
江北嘴新鸥鹏教育城,江北江北嘴 北滨二路（中央公园旁）,3室/4室,105-166㎡,"在售,住宅,轨交房,主卧套房,豪宅,大平层",均价 19000 元/㎡
保利山庄江天悦,江北观音桥 江北鸿恩寺公园对面,4室,117-152㎡,"在售,住宅,新开盘,双卫,使用面积多,改善房",最低 15000 元/㎡起
万科金域蓝湾,渝北汽博中心 果塘路66号,2室/3室/4室/5室,110-227㎡,"待售,住宅,即将开盘,刚需房,改善房,低单价",售价待定
中国铁建花语佰骊,巴南李家沱 重庆·巴南·融汇大道,2室/3室/别墅,70-130㎡,"待售,别墅,即将开盘,改善房,学校,银行",售价待定
万科御澜道,江北江北嘴 江北区新溉大道与北滨二路交汇处万科御...,3室/4室/5室/6室,158-282㎡,"待售,住宅,即将开盘,综合体,大户型,商场",售价待定
鹏润悦秀城,九龙坡石桥铺 石杨路中段,商住,37-39㎡,"待售,住宅,轨交房,大型社区,美食街,刚需房",售价待定
龙湖拉特芳斯,沙坪坝大学城 西永国际商务区（轻轨1号线微电园站旁...,1室/2室/3室/商住,19-66㎡,"待售,住宅,低总价,投资地产,品牌开发商,loft",售价待定
华宇龙湾,巴南巴滨路 巴滨路68号,3室/4室/5室,111-176㎡,"在售,住宅,loft,带幼儿园,入户花园,江景",均价 12000 元/㎡
鲁能星城,渝北龙头寺 渝鲁大道777号,2室/商住,41-99㎡,"在售,商住,轨交房,新开盘,公交枢纽,养老房",最低 11500 元/㎡起
铂悦澜庭,南岸南滨路 南滨路北段（大佛寺大桥南桥头下）,4室,133-141㎡,"待售,住宅,品牌开发商,江景,洋房,商场",售价待定
融创春晖十里,大渡口其他 春晖南金桥路车家坪,2室/3室/4室,64-139㎡,"待售,住宅,江景,大型社区,大阳台,公园",售价待定
新鸥鹏拉菲公馆,巴南龙洲湾 鸥鹏大道2号,2室/3室/4室,73-139㎡,"在售,住宅,山景,低单价,车位充足,豪宅",均价 8300 元/㎡
富力城,沙坪坝大学城 中路46号(重庆师范大学对面),商住,45㎡,"在售,商住,轨交房,高尔夫球场,洋房,带幼儿园",最低 7000 元/㎡起
保利观塘,南岸学府路 南坪镇街道二塘路79号,2室/3室/4室,49-130㎡,"待售,住宅,低单价,小三室,低总价",售价待定
鸿府,渝北回兴 宝环路3号(机场路宝石路交汇处),1室/2室/3室/4室,65-227㎡,"在售,住宅,带网球场,低密度,洋房,带幼儿园",均价 12000 元/㎡
恒大照母山,渝北照母山 金山大道2号大坡隧道口,1室/2室/3室/4室,44-114㎡,"在售,住宅,婚房,非毛坯,山景,公交枢纽",均价 11000 元/㎡
金科空港城,渝北两路空港 博才路5号,2室/3室,59-81㎡,"在售,住宅,品牌开发商,商场,带泳池,主卧套房",均价 11000 元/㎡
江山樾,"渝北照母山 金通大道,近平祥路",2室/4室,96-144㎡,"在售,住宅,新开盘,品牌开发商,商场,景观小区",最低 160 万元/套起
保利爱尚里,九龙坡石坪桥 石坪桥正街119号（骏逸新视界对面）,2室/3室/4室,56-90㎡,"待售,住宅,复式,人车分流,小三室,改善房",售价待定
联发龙洲湾1号,巴南龙洲湾 重庆市巴南区龙洲湾商圈海洋公园旁·联...,2室/3室/别墅,78-121㎡,"待售,住宅,改善房,游乐园,公园,银行",售价待定
鲁能泰山7号,渝北中央公园 兰桂大道秋成大道交接处（鲁能泰山俱乐...,1室/2室/3室,41-98㎡,"在售,住宅,轨交房,婚房,小三室,品牌开发商",均价 15000 元/㎡
金科城,北碚蔡家 嘉景大道6号,2室/3室/4室,69-126㎡,"待售,住宅,复式,主卧套房,大平层,小三室",售价待定
金色时代,巴南龙洲湾 渝南分流道中段11号,1室/2室/3室/4室/商住,30-128㎡,"在售,住宅,小三室,双阳台,大户型,厨卫全明",均价 8420 元/㎡
北大资源燕南,九龙坡杨家坪 兴堰路11号,1室/2室/3室/4室,47-112㎡,"在售,住宅,投资地产,景区,大型社区,低总价",最低 11000 元/㎡起
北大资源江山名门,江北五里店 海尔路599号,1室/2室,65-90㎡,"待售,住宅,品牌开发商,江景,大型社区,改善房",最低 10300 元/㎡起
保利金香槟,九龙坡华岩新城 中梁山街道华美二路6号,2室/3室,54-97㎡,"在售,住宅,轨交房,山景,运动健身,广场",最低 10000 元/㎡起
融创欧麓花园城,巴南鹿角 甘泉路288号,2室/3室/别墅,60-260㎡,"待售,住宅,即将开盘,低密度,养老房,入户花园",售价待定
万科金域学府,南岸学府路 二塘路59号,3室/4室,61-112㎡,"待售,住宅,学校,综合体,品牌开发商,大型社区",售价待定
港城印象,江北海尔路 港城南路20号,1室/2室,52-80㎡,"待售,住宅,带幼儿园,江景,低总价,美食街",售价待定
联发欣悦,九龙坡盘龙 龙泉路24号（轻轨大堰站旁）,1室/2室/3室,63-85㎡,"在售,住宅,轨交房,单身公寓,美食街,综合体",最低 11000 元/㎡起
恒大同景国际城,南岸茶园新区 南岸 新行政中心对面,2室/3室,81-119㎡,"待售,住宅,低密度,洋房,大型社区,低总价",售价待定
碧桂园嘉誉,渝北新牌坊 龙溪街道星辰支路1号（新牌坊福特安福...,商住,30-45㎡,"在售,商住,轨交房,即将开盘,单身公寓,美食街",均价 14000 元/㎡
融创滨江壹号,沙坪坝沙滨路 石井坡32号,3室/4室,115-206㎡,"在售,住宅,轨交房,人车分流,美食街,综合体",均价 16800 元/㎡
荣盛锦绣南山,巴南龙洲湾 龙洲湾商圈（海洋公园旁）,3室,106-115㎡,"在售,住宅,轨交房,景区,品牌开发商,公园",均价 9200 元/㎡
中粮鸿云,九龙坡盘龙 九龙坡区蟠龙大道,3室/4室,79-122㎡,"待售,住宅,品牌开发商,厨卫全明,小三室,大户型",售价待定
绿地新里樱园,江北海尔路 金渝大道与海尔路交汇处,2室,77-91㎡,"待售,住宅,人车分流,车位充足,刚需房,小三室",售价待定
金科天元道,渝北大竹林 斑竹路8号,1室/2室/3室/4室/别墅,52-246㎡,"在售,别墅,轨交房,人车分流,小三室,改善房",最低 270 万元/套起
融创江南融府,南岸茶园新区 6号线刘家坪轻轨站旁,,280000㎡,"待售,住宅",售价待定
中交中央公园,渝北中央公园 公园东路南段,2室/3室,83-117㎡,"待售,住宅,公积金贷款,景区,改善房,品牌开发商",售价待定
金科天宸,沙坪坝西永 永祥路107号,2室/3室/4室/5室/别墅,60-270㎡,"在售,住宅,轨交房,大挑高,露台,小三室",均价 12000 元/㎡
江厦星光汇,九龙坡杨家坪 石杨路18号,2室,75-84㎡,"在售,住宅,轨交房,loft,景观小区,低单价",均价 15000 元/㎡
华润凤凰城,大渡口区府 大渡口区文体路（区政府斜对面、大渡口...,2室/3室/4室,74-148㎡,"待售,住宅,品牌开发商,改善房,刚需房,银行",售价待定
姓名,地址,户型,区域,标签,价格
龙湖舜山府,渝北照母山 照母山森林公园星光隧道北出口,,422663㎡,"待售,住宅,新开盘,改善房,山景,豪宅",售价待定
北新御龙湾,合川合川 北新大道，近114乡道,2室/3室/4室/5室,78-214㎡,"在售,住宅,品牌开发商,厨卫全明,南北通透,使用面积多",均价 6600 元/㎡
蓝光林肯公园,巴南龙洲湾 龙州大道2999号,3室/4室,82-115㎡,"在售,住宅,运动健身,江景,投资地产,婚房",均价 11000 元/㎡
金科星辰,大渡口其他 八桥镇御桥路65号,2室/3室,60-112㎡,"待售,住宅,轨交房,景区,美食街,广场",售价待定
保利天汇,江北观音桥 重庆市江北区华新街,4室/5室,110-200㎡,"待售,住宅,轨交房,低密度,车位充足,品牌开发商",售价待定
光亮天润城,北碚城南新区 龙凤新区三元村（龙凤溪轻轨站旁）,1室/2室/3室,34-115㎡,"待售,住宅,轨交房,露台,大平层,双阳台",售价待定
首创城,沙坪坝双碑 奋发路,1室/2室/3室/4室,44-173㎡,"待售,住宅,轨交房,新开盘,复式,loft",售价待定
华美翡丽山,江北石马河 石马河街道江北农场（北滨路西端双碑大...,3室/4室,70-115㎡,"待售,住宅,复合地产,loft,运动健身,车位充足",售价待定
金科九曲河,渝北礼嘉 金海湾公园旁,,285038㎡,"在售,别墅,改善房,豪宅,江景,高端会所",最低 1300 万元/套起
保利观塘香颂,南岸学府路 二塘路79号,4室,117-130㎡,"待售,住宅,大挑高,主卧套房,入户花园,露台",售价待定
恒大翡翠湾,北碚蔡家 嘉运大道1号,别墅,123-189㎡,"在售,别墅,主卧套房,入户花园,江景,露台",最低 170 万元/套起
阳光100阿尔勒,巴南龙洲湾 渝南大道163号,别墅,123-174㎡,"待售,别墅,轨交房,带泳池,高尔夫球场,低密度",售价待定
启迪协信星澜汇,巴南鱼洞 尚文大道207号,2室/3室,60-144㎡,"待售,住宅,轨交房,三房朝南,养老房,低单价",售价待定
龙湖西宸原著,沙坪坝大学城 科技学院东侧,,299851㎡,"待售,住宅,投资地产,低总价,品牌开发商,综合体",售价待定
姓名,地址,户型,区域,标签,价格
天盈中心,南岸南坪 白鹤路45号（红绿灯下行200米）,商住,48-58㎡,"在售,商住,轨交房,loft,小三室,双卫",均价 12000 元/㎡
依云江湾,巴南龙洲湾 巴滨路777号,2室/4室/别墅,51-167㎡,"在售,住宅,大挑高,江景,车位充足",总价 50 万元/套
中昂彩云台,九龙坡高新区 高新区科城路（彩云湖公园.杨家坪中学...,2室/商住,59-92㎡,"在售,住宅,轨交房,低单价,低总价,综合体",最低 12000 元/㎡起
绿地海外滩,江北北滨路 鸿恩二路31号,2室/3室/4室,60-269㎡,"待售,住宅,公积金贷款,菜市场,江景,刚需房",售价待定
重庆车联网科技产业园,南岸茶园新区 通江大道201号,,374000㎡,"在售,办公楼,轨交房",均价 6000 元/㎡
万科金色悦城城市之光,"沙坪坝凤天路 凤中路,近煤分院支路",1室,25-39㎡,"在售,商住,轨交房,低总价,美食街,大户型",均价 8800 元/㎡
龙湖九里晴川,"渝北大竹林 金通大道,近平祥路",4室/5室/别墅,117-323㎡,"待售,别墅,改善房,豪宅,湖景,高端会所",售价待定
鲁能南渝星城,巴南鱼洞 箭河路600号,1室/2室/4室,46-178㎡,"待售,住宅,轨交房,低单价,低总价,品牌开发商",售价待定
启迪协信星麓原,巴南鹿角 江南新城茶园新区通江大道与金鹿大道交...,2室/3室,114-130㎡,"待售,住宅,改善房,学校,公园,菜市场",售价待定
丽都锦城,巴南李家沱 渝南大道32号（凯恩家具市场前行300米...,2室/3室,62-83㎡,"待售,住宅,带网球场,入户花园,小三室",售价待定
鲁能北渝星城,北碚城北新区 天生街道天溪路1号,2室/3室/4室,70-144㎡,"待售,住宅,轨交房",售价待定
申佳上海时光,渝北回兴 银梭大道1号,2室/3室/4室,63-114㎡,"待售,住宅,轨交房,入户花园,低单价",售价待定
恒大御景湾,巴南巴滨路 李家沱街道先锋村,1室/2室/3室,36-77㎡,"在售,住宅,江景,小三室,刚需房,品牌开发商",均价 9800 元/㎡
光华安纳溪湖,南岸茶园新区 米兰大道19号,1室/2室/3室/4室/别墅,50-279㎡,"在售,别墅,湖景,低密度,洋房,景观小区",最低 280 万元/套起
鸥鹏中央公园,重庆周边潼南 新城鸥鹏(新巴川中学旁),2室/3室,57-68㎡,"在售,住宅,旅游地产,景区,大型社区,低总价",最低 3400 元/㎡起
鸥鹏凤凰国际新城,璧山璧山县 观音塘湿地公园大门正对面(湿地公园正...,2室/3室,85-141㎡,"在售,住宅,景观小区,双阳台,大户型,双卫",最低 5000 元/㎡起
龙脊小时代,渝北中央公园 兰桂大道169号,2室/3室,57-82㎡,"待售,住宅,即将开盘,单身公寓,低总价,公园",售价待定
北城空港天地,渝北两路空港 空港大道777号,1室/2室,60-89㎡,"待售,住宅,轨交房,双阳台,厨卫全明,双卫",售价待定
隆鑫盛世普天,九龙坡高新区 二郎科技新城科城路65号（科城路与凤西...,3室/4室/5室,56-265㎡,"待售,住宅,轨交房,洋房,主卧套房,小三室",售价待定
紫御江山,江北江北嘴 北滨二路537号,2室/3室/4室/5室,57-218㎡,"待售,住宅,轨交房,山景,入户花园,江景",售价待定
远洋九公子,渝北照母山 西照母山九曲河湿地公园轻轨站旁,3室/4室/5室,85-159㎡,"在售,住宅,改善房,品牌开发商,综合体,公园",均价 16000 元/㎡
复地山与城,南岸黄桷桠 福寿路2号（重庆邮电大学与老厂道路之...,2室/3室/别墅,66-530㎡,"在售,住宅,高尔夫球场,山景,露台,大型社区",最低 8600 元/㎡起
联发公园里,"九龙坡华岩新城 华龙大道,近华庆路",2室/3室,65-85㎡,"在售,住宅,轨交房,即将开盘,人车分流,大型社区",均价 9800 元/㎡
万科悦湾,江北石马河 宏帆路121号（佰富高尔夫旁，北滨路双...,2室/3室/4室,62-224㎡,"在售,住宅,带泳池,高尔夫球场,低密度,洋房",均价 15000 元/㎡
锦怡国际,九龙坡杨家坪 九龙坡西郊路24号（动物园老大门对面）,,14000㎡,"在售,酒店式公寓,轨交房,美食街,综合体,大型超市",均价 10500 元/㎡
日月光解放碑1号,渝中解放碑 民权路88号,2室/3室/4室/5室,60-220㎡,"在售,住宅,轨交房,豪宅,大户型,综合体",均价 30000 元/㎡
世茂茂悦府,渝北照母山 湖红路365号,1室/2室/3室/4室/别墅,57-233㎡,"在售,别墅,轨交房,三房朝南,人车分流,低单价",最低 380 万元/套起
融创白象街,渝中解放碑 凯旋路16号,1室/2室/4室/5室/6室,23-478㎡,"在售,住宅,轨交房,新开盘,主卧套房,江景",最低 1000 万元/套起
和泓江山国际,渝中大坪 长江二路33号,2室/3室,72-103㎡,"在售,住宅,轨交房,三房朝南",均价 19500 元/㎡
雅居乐御宾府,大渡口双山 双山路306号,1室/2室/3室/4室/商住,30-293㎡,"待售,商住,一梯两户,大挑高,主卧套房,低单价",售价待定
中铁任之健康城,璧山璧山县 大路三担湖公园(渝遂高速【大路】下道...,1室/2室/3室,69-159㎡,"在售,住宅,湖景,精装修,养老房,双阳台",均价 9000 元/㎡
鲁能城中央公馆,渝北中央公园 双龙湖街道学成路17号,1室/2室/3室/别墅,36-141㎡,"待售,住宅,轨交房,景观小区,大平层,改善房",售价待定
皇冠国际（住宅）,南岸南滨路 中段（海底世界旁）,2室/3室/4室/5室,62-161㎡,"在售,住宅,江景,大平层,双阳台,大户型",均价 18000 元/㎡
金融街金悦府,沙坪坝磁器口 沙坪坝磁器口,2室,60-78㎡,"待售,住宅,轨交房",售价待定
铭鑫鼎尚源,大渡口建桥工业园 尚源路66号,2室/3室,59-115㎡,"待售,住宅,湖景,广场,大型超市,公园",售价待定
和记黄埔御峰,南岸南坪 御泰路201号,别墅,147-151㎡,"在售,住宅,小三室,品牌开发商,飘窗,学校",最低 213 万元/套起
国富沙磁巷,沙坪坝磁器口 风貌区（原重庆绢纺厂）,1室/2室/3室,44-95㎡,"在售,住宅,轨交房,景区,江景,车位充足",最低 14000 元/㎡起
金隅大成时代都汇,南岸茶园新区 金成路1号（茶园管委会公交车站边）,1室/2室/3室,47-114㎡,"待售,商住,轨交房,露台,小三室",售价待定
富悦麓山别苑,渝北两路空港 桂馥大道6号（空港实验小学旁）,2室/3室,60-155㎡,"待售,住宅,低密度,低总价,大户型,使用面积多",售价待定
恒大麓山湖,大渡口建桥工业园 八桥镇心湖路99号,别墅,121-350㎡,"在售,别墅,复合地产,湖景,低密度,人车分流",最低 250 万元/套起
巴山建材城,九龙坡石桥铺 石新路158号（巴山加油站旁）,,18000㎡,"在售,店铺,轨交房",最低 30000 元/㎡起
华侨城云溪别院,渝北礼嘉 华侨城华悦荟云溪别院营销中心,4室,118-146㎡,"待售,住宅,轨交房,旅游地产,公积金贷款,游乐园",售价待定
中国铁建西派城,江北江北嘴 北滨二路大佛寺大桥旁,3室/4室,122-192㎡,"待售,住宅",售价待定
鸥鹏泊雅湾二期,沙坪坝大学城 虎溪镇学智路651号,1室/2室/3室,45-114㎡,"待售,别墅,带泳池,洋房,大型社区,品牌开发商",售价待定
复地云岭处,南岸黄桷桠 福寿路2号,2室/3室,66-99㎡,"在售,住宅,三房朝南,高尔夫球场,山景,人车分流",最低 8500 元/㎡起
复地花屿城,渝北回兴 服装城大道（黄桷坪体育公园旁）,别墅,120-275㎡,"待售,别墅,轨交房,低密度,养老房,主卧套房",售价待定
绿地海棠湾,大足大足 重庆郊县大足区龙棠路1号（区三甲医院...,2室/3室,73-150㎡,"待售,住宅,公交枢纽,车位充足,小三室,刚需房",售价待定
绿地保税中心,江北海尔路 海尔路与金渝大道交界处,商住,1400-1800㎡,"在售,商住,轨交房,车位充足,露台,大平层",均价 14800 元/㎡
皇庭珠宝城,九龙坡盘龙 彩云大道10号（蟠龙小学对面）,1室/2室/3室,43-94㎡,"待售,住宅,低密度,刚需房,品牌开发商",售价待定
玮益上城华府,重庆周边潼南 重庆郊县江北新城(奋进大道与世界大道...,3室,140-143㎡,"在售,住宅,旅游地产,景观小区,景区,大平层",均价 3700 元/㎡
